date,close,high,low,trade_count,open,volume,vwap,tic,macd,rsi_14,cci_14,boll_ub,boll_lb
2016-01-15,710.49,724.158,701.51,57059,709.99,4149861,710.954517,GOOGL,132.54853364199164,79.92342902815922,37.67969427883399,1002.3266066788531,-23.05860667885304
2016-01-15,29.76,30.5,29.45,286949,29.73,84157589,29.894147,INTC,-37.1803137293311,14.470196606229678,-51.45925788736317,181.89800021307613,-20.480000213076124
2016-01-15,94.97,96.38,93.54,271782,93.98,49249968,94.87616,META,1.5664917221903067,51.428885816259964,5.673758865248123,107.07864863631079,76.48635136368921
2016-01-15,50.99,51.97,50.34,352878,51.31,80234990,51.051415,MSFT,-24.30260878913424,12.887038229995696,-50.63931476801553,172.83353951674616,11.521460483253875
2016-01-15,27.11,27.85,26.64,124072,27.52,22317440,27.135308,NVDA,-24.09945231789719,15.16953714882817,-52.35449326803577,164.12674834263993,-16.064748342639916
2016-01-15,204.99,205.07,197.25,46653,198.97,5482812,201.221728,TSLA,13.040117016086725,61.18674677960046,22.88867775027208,245.5620502990173,119.95094970098273
2016-01-19,96.66,98.65,95.5,291405,98.41,55291216,96.891036,AAPL,-0.4015297805549096,30.672608996406765,-80.04930864705094,104.87535362042682,93.55373728866407
2016-01-19,89.18,91.4,88.37,34833,90.29,3924074,89.794747,ADBE,11.207809795014498,81.43992118127915,41.59988826620589,114.04955327954235,27.441446720457655
2016-01-19,574.48,584.0,566.45,62242,577.09,5000056,575.386991,AMZN,132.32072315734786,79.61580965654178,29.606545886100175,903.7769951578107,-157.0129951578108
2016-01-19,23.85,24.03,23.59,171608,23.8,58963111,23.84388,CSCO,-0.9655972621188127,29.966312027338972,-153.80180180180184,27.47277057548411,23.776229424515893
2016-01-19,719.08,725.35,709.85,41500,720.15,2597184,718.442242,GOOGL,129.0274704563385,80.40440726777673,34.65424451099461,1022.2120218857876,4.494978114212245
