date,account_value
2024-01-08,169772.12660003663
2024-01-09,170789.0545011139
2024-01-10,171932.3045011139
2024-01-11,171454.4445011139
2024-01-12,170879.95450111388
2024-01-16,169649.7245011139
2024-01-17,171097.7145011139
2024-01-18,175174.3845011139
2024-01-19,174415.20450111394
2024-01-22,174397.3345011139
2024-01-23,175828.3545011139
2024-01-24,178348.0245011139
2024-01-25,173995.20450111388
2024-01-26,176624.28315917967
2024-01-29,174715.90752086637
2024-01-30,171835.91221698758
2024-01-31,174630.5412356567
2024-02-01,177565.9332893753
2024-02-02,177097.34282897948
2024-02-05,173974.8044768524
2024-02-06,175476.5244768524
2024-02-07,174987.96447685242
2024-02-08,178011.6144768524
2024-02-09,175599.26447685243
2024-02-12,172639.23447685243
2024-02-13,173907.28447685242
2024-02-14,171615.75447685242
2024-02-15,165072.7444768524
2024-02-16,164356.6944768524
2024-02-20,163763.97447685243
2024-02-21,164978.70619888307
2024-02-22,166869.30949951173
2024-02-23,167577.02203540804
2024-02-26,166320.652035408
2024-02-27,165559.20203540803
2024-02-28,167926.67203540803
2024-02-29,169946.67594890593
2024-03-01,169530.09014717102
2024-03-04,163423.25014717103
2024-03-05,163585.99784729007
2024-03-06,166927.00784729002
2024-03-07,165152.62784729007
2024-03-08,166492.790650177
2024-03-11,170103.91065017701
2024-03-12,168087.02565017698
2024-03-13,168076.31465168
2024-03-14,156114.43465168
2024-03-15,159317.2365319824
2024-03-18,160596.87427291396
2024-03-19,161308.1775888443
2024-03-20,159072.28046981813
2024-03-21,157769.6395272827
2024-03-22,158375.6856504822
2024-03-25,158104.64005493163
2024-03-26,159531.97704971314
2024-03-27,159535.9770497131
2024-03-28,159233.94834350588
2024-04-01,158177.61834350586
2024-04-02,156372.19834350588
2024-04-03,154083.49814842225
2024-04-04,154262.75814842223
2024-04-05,153671.61814842225
2024-04-08,155370.05814842225
2024-04-09,153689.94814842226
2024-04-10,155336.0050164795
2024-04-11,152544.73208946225
2024-04-12,151028.8159265137
2024-04-15,151208.26132289888
2024-04-16,150043.70132289888
2024-04-17,148936.58132289886
2024-04-18,146122.58132289886
2024-04-19,147059.4466757506
2024-04-22,148506.6466757506
2024-04-23,149259.848740921
2024-04-24,148732.70874092102
2024-04-25,148672.05609313966
2024-04-26,148669.5981980896
2024-04-29,145068.02070480346
2024-04-30,146545.05070480346
2024-05-01,149343.80359699248
2024-05-02,152985.72650268555
2024-05-03,154296.09658691403
2024-05-06,154055.22658691404
2024-05-07,152987.67086288452
2024-05-08,152784.87380477905
2024-05-09,151971.54865386966
2024-05-10,152835.30865386964
2024-05-13,152369.79715118406
2024-05-14,154045.7639691925
2024-05-15,153678.30396919252
2024-05-16,153865.92375701905
2024-05-17,154168.0728387451
2024-05-20,153783.70017402648
2024-05-21,153638.5701740265
2024-05-22,151768.2701740265
2024-05-23,151434.12807703973
2024-05-24,152284.3980770397
2024-05-28,151716.83807703972
2024-05-29,146759.7980770397
2024-05-30,146578.95807703972
2024-05-31,146082.0512913513
2024-06-03,147555.9458315277
2024-06-04,149630.47583152773
2024-06-05,150242.1058315277
2024-06-06,151764.51757141112
2024-06-07,150867.53144622804
2024-06-10,153655.25388088223
2024-06-11,154244.88693122863
2024-06-12,153733.3045079422
2024-06-13,163159.94450794216
2024-06-14,163495.00600296023
2024-06-17,163164.7960029602
2024-06-18,162781.34140419005
2024-06-20,164662.70296432494
2024-06-21,162695.86578292845
2024-06-24,163788.90276657103
2024-06-25,166264.99372070312
2024-06-26,169607.49441345214
2024-06-27,170258.85569820402
2024-06-28,173619.25168045046
2024-07-01,178339.7822729492
2024-07-02,180761.33232048037
2024-07-03,183943.56848636628
2024-07-05,184701.7667804718
2024-07-08,184810.13723205565
2024-07-09,185534.94370483398
2024-07-10,179702.03106262206
2024-07-11,181904.1443688965
2024-07-12,184290.52241653443
2024-07-15,185065.8524165344
2024-07-16,182285.64241653445
2024-07-17,180802.30326271057
2024-07-18,177503.76349639895
2024-07-19,180242.37750442507
2024-07-22,177986.19005058287
2024-07-23,169219.1631430626
2024-07-24,169678.31757873535
2024-07-25,171467.76499567984
2024-07-26,172365.540446167
2024-07-29,171001.74792560577
2024-07-30,175413.10984558106
2024-07-31,170860.1503778839
2024-08-01,163747.66149843216
2024-08-02,157382.16266868592
2024-08-05,158114.0702217865
2024-08-06,156664.7902509308
2024-08-07,161568.38150695802
2024-08-08,163025.82452941893
2024-08-09,161780.75505950928
2024-08-12,165113.36886486053
2024-08-13,164700.29324432372
2024-08-14,170121.4316369629
2024-08-15,170634.39113054276
2024-08-16,173544.33382863045
2024-08-19,173138.90949890137
2024-08-20,174171.58116714476
2024-08-21,170002.84389633182
2024-08-22,172373.54486068722
2024-08-23,171239.8684072876
2024-08-26,171993.2168919277
2024-08-27,169821.8318386841
2024-08-28,171953.0788174057
2024-08-29,174158.40050979616
2024-08-30,171965.55050979613
2024-09-03,174063.08050979616
2024-09-04,175104.08050979616
2024-09-05,170294.36862854005
2024-09-06,172482.91155685426
2024-09-09,175081.54272418976
2024-09-10,176846.54329661367
2024-09-11,178254.4632966137
2024-09-12,170024.7058215332
2024-09-13,166003.1123171997
2024-09-16,165159.5857460022
2024-09-17,164357.5357460022
2024-09-18,171990.72562835694
2024-09-19,170077.71844314574
2024-09-20,173219.36844314577
2024-09-23,173590.72844314575
2024-09-24,172991.45844314573
2024-09-25,172153.32844314576
2024-09-26,173500.4888095093
2024-09-27,174816.19595184326
2024-09-30,170636.73222236632
2024-10-01,169321.61313964843
2024-10-02,167059.4179193115
2024-10-03,169791.23057769777
2024-10-04,163799.89386497496
2024-10-07,166615.54626823426
2024-10-08,166032.75626823428
2024-10-09,167103.57372619628
2024-10-10,161110.66144287112
2024-10-11,164278.9123917389
2024-10-14,164363.4989328384
2024-10-15,163696.73893283843
2024-10-16,162673.45893283843
2024-10-17,162659.06893283845
2024-10-18,162900.09609161376
2024-10-21,161852.55609161378
2024-10-22,158931.29609161377
2024-10-23,168779.08947387696
2024-10-24,170921.66591421128
2024-10-25,169211.44859443663
2024-10-28,169348.1619932556
2024-10-29,168723.45921066284
2024-10-30,164959.1204333496
2024-10-31,165294.3594958496
2024-11-01,163581.91632807732
2024-11-04,166576.42179138184
2024-11-05,177922.46325454712
2024-11-06,179729.54970275878
2024-11-07,184027.93290317536
2024-11-08,191807.48220191957
2024-11-11,190735.6423602295
2024-11-12,192231.04374420166
2024-11-13,187852.61171531677
2024-11-14,185031.1917153168
2024-11-15,188592.09676948548
2024-11-18,190374.81676948548
2024-11-19,189504.89676948547
2024-11-20,189777.46636283875
2024-11-21,194198.6426397705
2024-11-22,192408.68301818846
2024-11-25,193730.92487888335
2024-11-26,190380.35487888334
2024-11-27,193774.30487888335
2024-11-29,196717.99609375
2024-12-02,195691.0569191742
2024-12-03,200898.9169191742
2024-12-04,203857.20035812378
2024-12-05,210966.36035812378
2024-12-06,210418.5503581238
2024-12-09,212846.50035812377
2024-12-10,218686.35035812377
2024-12-11,203877.99445251466
2024-12-12,206355.73664505006
2024-12-13,211915.84664505004
2024-12-16,214788.30664505006
2024-12-17,202738.8055116272
2024-12-18,201274.65551162718
2024-12-19,199949.9655116272
2024-12-20,202187.5573123169
2024-12-23,209919.59731231688
2024-12-24,208506.65731231688
2024-12-26,202440.4973123169
2024-12-27,198762.63731231692
2024-12-30,195315.21731231688
2024-12-31,195315.21731231688
