time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/loss,train/clip_range,train/std,train/n_updates,train/policy_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
16,7680,15,471,0.019889738,-0.5587002635002136,0.2,1.2433596849441528,140,-0.041059635439887644,0.0005562533485279107,-16.279809951782227,0.2690783739089966,0.8827178739011288,0.223046875,-0.041059635439887644,-0.41476555844879126,2327.0
17,8192,16,468,0.025293691,-1.1365081071853638,0.2,1.2670552730560303,150,-0.05052620128262788,0.0005562533485279107,-16.450700187683104,-0.1105574369430542,0.5862333856523037,0.2365234375,-0.05052620128262788,-0.41476555844879126,2327.0
18,8704,17,465,0.014043765,-0.2968566417694092,0.2,1.2834272384643555,160,-0.037221269519068303,0.0005562533485279107,-16.61433379650116,-0.045709967613220215,2.0249364390969276,0.1640625,-0.037221269519068303,-0.41476555844879126,2327.0
19,9216,18,464,0.017448058,-0.10259568691253662,0.2,1.304286241531372,170,-0.03903645488899201,0.0005562533485279107,-16.75513732433319,0.11175400018692017,2.626206475496292,0.1615234375,-0.03903645488899201,-0.41476555844879126,2327.0
21,9728,19,461,0.016497593,1.4340301752090454,0.2,1.3268344402313232,180,-0.03356696526752785,0.0005562533485279107,-16.920740485191345,0.2939688563346863,4.670628944039345,0.181640625,-0.03356696526752785,-0.5998076051461696,2327.0
22,10240,20,458,0.024327703,-1.23881995677948,0.2,1.358728051185608,190,-0.05165359899110626,0.0005562533485279107,-17.13044512271881,-0.18142938613891602,0.40043693520128726,0.1998046875,-0.05165359899110626,-0.5998076051461696,2327.0
23,10752,21,456,0.021509938,-1.2376859188079834,0.2,1.3835161924362183,200,-0.044334782840451226,0.0005562533485279107,-17.33894786834717,-0.05191183090209961,0.25727665685117246,0.199609375,-0.044334782840451226,-0.5998076051461696,2327.0
24,11264,22,454,0.018321063,-1.1559085845947266,0.2,1.4045473337173462,210,-0.03830853464314714,0.0005562533485279107,-17.501064658164978,-0.1950206756591797,0.6484231431037187,0.1640625,-0.03830853464314714,-0.5998076051461696,2327.0
26,11776,23,452,0.015805658,-0.774966835975647,0.2,1.4277827739715576,220,-0.030928726599086076,0.0005562533485279107,-17.66073582172394,0.5192931890487671,1.2945146687328815,0.1380859375,-0.030928726599086076,-0.846492810581779,2327.0
27,12288,24,450,0.018051587,-0.6683271527290344,0.2,1.4639055728912354,230,-0.04103410728275776,0.0005562533485279107,-17.86885802745819,0.5148103833198547,1.529782797396183,0.163671875,-0.04103410728275776,-0.846492810581779,2327.0
28,12800,25,447,0.02612177,-1.3452595472335815,0.2,1.499587059020996,240,-0.05125438718823716,0.0005562533485279107,-18.11492176055908,-0.4809455871582031,0.11002155710011721,0.26796875,-0.05125438718823716,-0.846492810581779,2327.0
29,13312,26,447,0.016846828,-1.070144534111023,0.2,1.520523190498352,250,-0.03739298274740577,0.0005562533485279107,-18.303283500671387,-0.014935493469238281,0.6690077468752861,0.151953125,-0.03739298274740577,-0.846492810581779,2327.0
30,13824,27,446,0.01984913,-1.0499385595321655,0.2,1.5464599132537842,260,-0.0413260426139459,0.0005562533485279107,-18.455279755592347,0.30292582511901855,0.8377302587032318,0.20859375,-0.0413260426139459,-0.846492810581779,2327.0
32,14336,28,445,0.012782677,-0.8885414600372314,0.2,1.5622024536132812,270,-0.025351371645228937,0.0005562533485279107,-18.59135000705719,0.559003472328186,1.1178118519484996,0.11171875,-0.025351371645228937,-0.880892609707991,2327.0
33,14848,29,443,0.015631579,-1.1312768459320068,0.2,1.5845277309417725,280,-0.04181302455253899,0.0005562533485279107,-18.70478343963623,0.44792985916137695,0.7560383282601834,0.1771484375,-0.04181302455253899,-0.880892609707991,2327.0
34,15360,30,442,0.018847238,-1.3285679817199707,0.2,1.6179918050765991,290,-0.04535791382659227,0.0005562533485279107,-18.887381982803344,-0.14674556255340576,0.2594530848786235,0.1958984375,-0.04535791382659227,-0.880892609707991,2327.0
35,15872,31,441,0.019354604,-1.0128072500228882,0.2,1.650640845298767,300,-0.04002738576382399,0.0005562533485279107,-19.085032725334166,-0.009565234184265137,1.4157116129994392,0.2341796875,-0.04002738576382399,-0.880892609707991,2327.0
37,16384,32,441,0.016537558,-0.1781553030014038,0.2,1.6800590753555298,310,-0.03688296272885054,0.0005562533485279107,-19.272878193855284,0.4843091368675232,1.976029457896948,0.1615234375,-0.03688296272885054,-0.8190853391381668,2327.0
38,16896,33,438,0.016486485,-0.41569530963897705,0.2,1.7147289514541626,320,-0.03379006773466244,0.0005562533485279107,-19.462388515472412,0.4001324772834778,2.995649142563343,0.1814453125,-0.03379006773466244,-0.8190853391381668,2327.0
39,17408,34,436,0.024851257,-1.4277948141098022,0.2,1.760040044784546,330,-0.04638025461463258,0.0005562533485279107,-19.700123882293703,-0.5912736654281616,0.2566644471138716,0.2234375,-0.04638025461463258,-0.8190853391381668,2327.0
41,17920,35,435,0.010933066,-0.34376776218414307,0.2,1.7833397388458252,340,-0.025761643401347102,0.0005562533485279107,-19.89731295108795,0.00011211633682250977,2.2250540882349013,0.1115234375,-0.025761643401347102,-0.8190853391381668,2327.0
42,18432,36,434,0.009697609,5.597817420959473,0.2,1.8022810220718384,350,-0.023270525329280645,0.0005562533485279107,-20.011393070220947,0.10944986343383789,13.017876130342483,0.0734375,-0.023270525329280645,-0.8190853391381668,2327.0
43,18944,37,433,0.010319956,116.0167007446289,0.2,1.8107538223266602,360,-0.014096455555409193,0.0005562533485279107,-20.09486403465271,0.06511616706848145,134.73895087242127,0.0669921875,-0.014096455555409193,-0.8820630860143895,2327.0
45,19456,38,431,0.017960552,-1.0149184465408325,0.2,1.8391802310943604,370,-0.0446689510717988,0.0005562533485279107,-20.18362228870392,0.22407537698745728,1.1484253861010074,0.2119140625,-0.0446689510717988,-0.8820630860143895,2327.0
46,19968,39,427,0.020185504,-1.4721508026123047,0.2,1.8776824474334717,380,-0.04478439722442999,0.0005562533485279107,-20.378555631637575,-0.2934455871582031,0.18703026063740252,0.218359375,-0.04478439722442999,-0.8820630860143895,2327.0
47,20480,40,434,0.01725775,-1.3025641441345215,0.2,1.9182188510894775,390,-0.03571539376862347,0.0005562533485279107,-20.57568335533142,0.08754110336303711,0.7728085312992334,0.157421875,-0.03571539376862347,-0.8820630860143895,2327.0
48,20992,41,431,0.0178108,-0.8520501852035522,0.2,1.948110818862915,400,-0.031901438772911205,0.0005562533485279107,-20.76098961830139,0.616295337677002,1.320018482208252,0.1689453125,-0.031901438772911205,-0.8677310876660872,2327.0
49,21504,42,430,0.014585345,1.097061276435852,0.2,1.9705463647842407,410,-0.025531341333407908,0.0005562533485279107,-20.894731831550597,0.47900158166885376,3.1414146281778814,0.11953125,-0.025531341333407908,-0.8677310876660872,2327.0
51,22016,43,429,0.020351099,-1.54703950881958,0.2,2.01704740524292,420,-0.04238342581083998,0.0005562533485279107,-21.061213040351866,-1.0295982360839844,0.1272068646736443,0.173046875,-0.04238342581083998,-0.8677310876660872,2327.0
52,22528,44,428,0.018144043,-1.482103943824768,0.2,2.0526089668273926,430,-0.04233677070587873,0.0005562533485279107,-21.27822232246399,0.04065525531768799,0.37158716209232806,0.2158203125,-0.04233677070587873,-0.8677310876660872,2327.0
53,23040,45,428,0.014457995,-1.2208006381988525,0.2,2.0763049125671387,440,-0.03483520766021684,0.0005562533485279107,-21.42190010547638,0.45058590173721313,0.8006493918597698,0.1646484375,-0.03483520766021684,-0.8677310876660872,2327.0
55,23552,46,426,0.01528603,0.36966168880462646,0.2,2.098618745803833,450,-0.030580161546822637,0.0005562533485279107,-21.517780447006224,0.5337997674942017,3.1958061069250108,0.1734375,-0.030580161546822637,-0.9607822477181431,2327.0
56,24064,47,424,0.014788843,-0.5100328922271729,0.2,2.1331028938293457,460,-0.02973465709364973,0.0005562533485279107,-21.651795864105225,-0.2480602264404297,3.317106607556343,0.1185546875,-0.02973465709364973,-0.9607822477181431,2327.0
58,24576,48,423,0.021400513,-1.6042430400848389,0.2,2.1705923080444336,470,-0.04848016973119229,0.0005562533485279107,-21.82697203159332,-0.5213555097579956,0.16287029376253487,0.2169921875,-0.04848016973119229,-0.9607822477181431,2327.0
59,25088,49,421,0.0153652,-0.7590852379798889,0.2,2.208542823791504,480,-0.028415604680776595,0.0005562533485279107,-21.989688563346864,-0.04677927494049072,1.6361568786203862,0.1142578125,-0.028415604680776595,-0.9607822477181431,2327.0
60,25600,50,419,0.013847607,-0.12296020984649658,0.2,2.243730068206787,490,-0.031958128605037925,0.0005562533485279107,-22.15831837654114,0.47654086351394653,2.795372578501701,0.134375,-0.031958128605037925,-0.9607822477181431,2327.0
62,26112,51,418,0.0064454162,18.985694885253906,0.2,2.256967067718506,500,-0.016057477233698592,0.0005562533485279107,-22.26837000846863,0.21926242113113403,38.303796994686124,0.067578125,-0.016057477233698592,-1.1055019061328712,2327.0
63,26624,52,417,0.025022374,-1.6352876424789429,0.2,2.3049378395080566,510,-0.04772707096999511,0.0005562533485279107,-22.394483280181884,-0.13798630237579346,0.24429380418732763,0.202734375,-0.04772707096999511,-1.1055019061328712,2327.0
65,27136,53,417,0.019318763,-1.537628412246704,0.2,2.3469185829162598,520,-0.03982920113485307,0.0005562533485279107,-22.60622944831848,0.007226526737213135,0.3648373896256089,0.2099609375,-0.03982920113485307,-1.1055019061328712,2327.0
66,27648,54,416,0.01515363,-0.8100711107254028,0.2,2.3735220432281494,530,-0.03373111605178565,0.0005562533485279107,-22.738261771202087,0.3128494620323181,2.89392212331295,0.16796875,-0.03373111605178565,-1.1055019061328712,2327.0
67,28160,55,415,0.011691336,-0.6636320352554321,0.2,2.407175064086914,540,-0.026379746885504575,0.0005562533485279107,-22.864322328567503,0.7042263448238373,3.6284299731254577,0.10078125,-0.026379746885504575,-1.1429838200105824,2327.0
